UMLS_pt,UMLS_pt_UI,pt
Dysuria,C0013428,Dysphagia
Earache,C0013456,Dysuria
Epicondylitis,C0014488,Ear pain
Erythema,C0041834,Epicondylitis
Excoriation,C0015256,Erythema
Facet joint pain,C0423690,Excoriation
Facial Pain,C0015468,Facet joint syndrome
Falls,C0085639,Facial pain
pathologic fistula,C0016169,Fall
Flank Pain,C0016199,Fistula
Fracture of foot,C0272774,Flank pain
Mycoses,C0026946,Foot fracture
furuncle,C0242301,Fungal infection
Gastrointestinal Hemorrhage,C0017181,Furuncle
General physical health deterioration,C0877211,Gastrointestinal haemorrhage
Ulceration of gingivae,C0392378,General physical health deterioration
Hematochezia,C0018932,Gingival ulceration
Hematoma,C0018944,Haematochezia
Hemoptysis,C0019079,Haematoma
Craniocerebral Trauma,C0018674,Haemoptysis
Lesion of liver,C0577053,Head injury
Herpes zoster (disorder),C0019360,Hepatic lesion
Hypercholesterolemia,C0020443,Herpes zoster
Hypertrophy,C0020564,Hypercholesterolaemia
Hypesthesia,C0020580,Hypertrophy
Hypokalemia,C0020621,Hypoaesthesia
Hyponatremia,C0020625,Hypokalaemia
Hypotension,C0020649,Hyponatraemia
Hypothyroidism,C0020676,Hypotension
Hypoxia,C0242184,Hypothyroidism
Impaired work ability,C0948361,Hypoxia
Sleeplessness,C0917801,Impaired work ability
Intervertebral Disc Degeneration,C0158266,Insomnia
Intestinal Polyps,C0021846,Intervertebral disc degeneration
Left atrial dilatation,C0344720,Intestinal polyp
Decreased Libido,C0011124,Left atrial dilatation
Disorder of ligament,C0263976,Libido decreased
Sprain of ligament,C0435002,Ligament disorder
Limb injury,C0743668,Ligament sprain
Lumbar radiculopathy,C1263855,Limb injury
Spinal stenosis of lumbar region,C0158288,Lumbar radiculopathy
Lung diseases,C0024115,Lumbar spinal stenosis
Lymphadenopathy,C0497156,Lung disorder
Mastication disorder,C0854372,Lymphadenopathy
Meniscus injury,C1096124,Mastication disorder
Mitral Valve Insufficiency,C0026266,Meniscus injury
Inflammatory disease of mucous membrane,C0333355,Mitral valve incompetence
Mucosal ulcer,C0236053,Mucosal inflammation
Musculoskeletal Pain,C0026858,Mucosal ulceration
Musculoskeletal stiffness,C0948525,Musculoskeletal pain
Nasal obstruction present (finding),C0027429,Musculoskeletal stiffness
Nephrolithiasis,C0392525,Nasal obstruction
Peripheral Nervous System Diseases,C4721453,Nephrolithiasis
Esophagitis,C0014868,Neuropathy peripheral
Mouth Diseases,C0026636,Oesophagitis
Oral infection,C0555971,Oral disorder
Degenerative polyarthritis,C0029408,Oral infection
Osteoma,C0029440,Osteoarthritis
Osteomyelitis,C0029443,Osteoma
Osteonecrosis of Jaw,C2711248,Osteomyelitis
Osteopenia,C0029453,Osteonecrosis of jaw
Osteoporosis,C0029456,Osteopenia
Osteosclerosis,C0029464,Osteoporosis
Pain,C0030193,Osteosclerosis
Pain in limb,C0030196,Pain
Paresthesia,C0030554,Pain in extremity
Periodontal destruction,C0236023,Paraesthesia
Edema of pharynx,C0236024,Periodontal destruction
Multiple Myeloma,C0026764,Pharyngeal oedema
Fibrosis of pleura,C2720436,Plasma cell myeloma
Pulmonary Edema,C0034063,Pleural fibrosis
Pulmonary vascular disorder,C0854416,Pulmonary oedema
Fever,C0015967,Pulmonary vascular disorder
Skin rash,C5779628,Pyrexia
Generalized rash,C0497365,Rash
Renal cyst,C3887499,Rash generalised
Restless Legs Syndrome,C0035258,Renal cyst
Rib Fractures,C0035522,Restless legs syndrome
Rotator cuff syndrome,C0263912,Rib fracture
"Scoliosis, unspecified",C0036439,Rotator cuff syndrome
Sialadenitis,C0037023,Scoliosis
Sinusitis,C0037199,Sialoadenitis
Sleep Apnea Syndromes,C0037315,Sinusitis
Somnolence,C2830004,Sleep apnoea syndrome
"Osteoarthritis, Spine",C2350242,Somnolence
Swelling,C0038999,Spinal osteoarthritis
Temporomandibular Joint Dysfunction Syndrome,C0039496,Swelling
Sore to touch,C0234233,Temporomandibular joint syndrome
Calcium deposits in tendon,C0405583,Tenderness
Tendinitis,C0039503,Tendon calcification
Tooth Loss,C0080233,Tendonitis
Tremor,C0040822,Tooth loss
Varicosity,C0042345,Tremor
Vitamin B12 deficiency anemia,C2004521,Varicose vein
Vulvovaginal dryness,C0520589,Vitamin B12 deficiency
Decreased body weight,C5574742,Vulvovaginal dryness
Traumatic Wound,C0043250,Weight decreased
Dysplasia,C0334044,Wound
Periodontal Diseases,C0031090,Dysplasia
Dental abscess,C0518988,Periodontal disease
Tooth Fractures,C0040441,Tooth abscess
Tooth Infection,C0877046,Tooth fracture
Hemoglobin increased,C0549448,Tooth infection
Intestinal Obstruction,C0021843,Haemoglobin increased
Peritoneal adhesion,C0156181,Intestinal obstruction
Increased number of platelets,C0857460,Peritoneal adhesions
Foetal exposure during pregnancy,C3203551,Platelet count increased
Polydactyly,C0152427,Foetal exposure during pregnancy
Tracheoesophageal Fistula,C0040588,Polydactyly
Blood cholesterol increased,C0595930,Tracheo-oesophageal fistula
Mental Depression,C0011570,Blood cholesterol increased
Drug ineffective,C0852908,Depression
Gastroesophageal reflux disease,C0017168,Drug ineffective
Glaucoma,C0017601,Gastrooesophageal reflux disease
Incorrect drug administration duration,C1536001,Glaucoma
Fibromyalgia,C0016053,Incorrect drug administration duration
Incorrect dose administered,C1536013,Fibromyalgia
Injection site bruising,C0521508,Incorrect dose administered
Injection site extravasation,C0521500,Injection site bruising
Injection site hemorrhage,C0151698,Injection site extravasation
Injection site pain,C0151828,Injection site haemorrhage
Injection site urticaria,C0392196,Injection site pain
Intervertebral disc disorder,C0158252,Injection site urticaria
Knee Replacement Arthroplasty,C0086511,Intervertebral disc disorder
Liquid product physical issue,C2609196,Knee arthroplasty
Poor quality drug administered,C1142275,Liquid product physical issue
Rheumatoid Arthritis,C0003873,Poor quality drug administered
Blood glucose increased,C0595877,Rheumatoid arthritis
Hypoglycemia,C0020615,Blood glucose increased
Blood glucose outside reference range,C0580546,Hypoglycaemia
Dementia,C0497327,Blood glucose abnormal
Coughing,C0010200,Dementia
Crohn Disease,C0010346,Cough
Drug action decreased,C0521845,Crohn's disease
Dysphonia,C1527344,Drug effect decreased
Fatigue,C0015672,Dysphonia
Increased frequency of defecation,C0239978,Fatigue
Influenza-like illness,C0521839,Frequent bowel movements
Scab,C0205204,Influenza like illness
Weight Gain,C0043094,Scab
Feeling suicidal (finding),C0424000,Weight increased
Violence-related symptom,C0854385,Suicidal ideation
Angioedema,C0002994,Violence-related symptom
bite injury,C0005658,Angioedema
Increase in blood pressure,C0497247,Bite
"Hypothermia, natural",C0020672,Blood pressure increased
Lip oedema,C0541923,Body temperature decreased
Injury of mouth,C0272426,Lip oedema
Malignant neoplasm of female breast,C0235653,Mouth injury
Bone marrow harvest failure,C1142462,Breast cancer female
Febrile Neutropenia,C0746883,Bone marrow failure
Liver Failure,C0085605,Febrile neutropenia
Hepatotoxicity,C0235378,Hepatic failure
Carcinoma in situ of rectum,C0154062,Hepatotoxicity
Respiratory Tract Infections,C0035243,Rectal cancer stage 0
Sepsis,C0243026,Respiratory tract infection
Systemic Inflammatory Response Syndrome,C0242966,Sepsis
Thrombocytopenia,C0040034,Systemic inflammatory response syndrome
Equilibration disorder,C0575090,Thrombocytopenia
Cellulitis,C0007642,Balance disorder
Dermatitis,C0011603,Cellulitis
Gait abnormality,C0575081,Dermatitis
Laceration,C0043246,Gait disturbance
Localized swelling,C0853619,Laceration
Lymphedema,C0024236,Local swelling
Reduced mobility,C0700572,Lymphoedema
Peripheral edema,C0085649,Mobility decreased
Calcification of pericardium,C0240708,Oedema peripheral
Peeling of skin,C0237849,Pericardial calcification
Fissure in skin,C0221245,Skin exfoliation
Skin hemorrhages,C0852361,Skin fissures
Abdomen distended,C0000731,Skin haemorrhage
Adverse event,C0877248,Abdominal distension
Blood triglycerides increased,C0853692,Adverse event
Fibrillation,C0232197,Blood triglycerides increased
Irregular heart beat,C0237314,Cardiac fibrillation
Hot flushes,C0600142,Heart rate irregular
Palpitations,C0030252,Hot flush
Tumour marker increased,C0876999,Palpitations
Upper abdominal pain,C0232492,Tumour marker increased
Chest Pain,C0008031,Abdominal pain upper
Clostridium difficile infection,C0343386,Chest pain
Diarrhea,C0011991,Clostridium difficile infection
Hyperchlorhydria,C0151713,Diarrhoea
Skin lesion,C0037284,Hyperchlorhydria
Sleep Disorders,C0851578,Skin lesion
Supraventricular tachycardia,C0039240,Sleep disorder
Vascular occlusion,C1096458,Supraventricular tachycardia
Drug dose omission,C1535996,Vascular occlusion
Aphthous Stomatitis,C0038363,Drug dose omission
Dizziness,C0012833,Aphthous stomatitis
Herpes simplex infection,C0019348,Dizziness
Psoriasis,C0033860,Herpes simplex
Skin Papule,C1519353,Psoriasis
Inappropriate schedule of drug administration,C0857801,Rash papular
Strabismus,C0038379,Inappropriate schedule of drug administration
Cerebral Infarction,C0007785,Binocular eye movement disorder
Cerebral Thrombosis,C0079102,Cerebral infarction
Cerebrovascular accident,C0038454,Cerebral thrombosis
Confusion,C0009676,Cerebrovascular accident
Seizures,C0036572,Confusional state
Dyskinetic syndrome,C0013384,Convulsion
Headache,C0018681,Dyskinesia
hearing impairment,C1384666,Headache
Intracranial Aneurysm,C0007766,Hypoacusis
Muscle Weakness,C0151786,Intracranial aneurysm
Off label vaccine use,C5577809,Muscular weakness
Transient Ischemic Attack,C0007787,Off label use
Visual Impairment,C3665347,Transient ischaemic attack
Vomiting,C0042963,Visual impairment
Transitional cell carcinoma of bladder,C0279680,Vomiting
Pancreatitis,C0030305,Bladder transitional cell carcinoma
Malignant neoplasm of prostate,C0376358,Pancreatitis
"Kidney Failure, Acute",C0022660,Prostate cancer
Renal Insufficiency,C1565489,Renal failure acute
"Pancreatitis, Acute",C0001339,Renal impairment
Peripheral artery thrombosis,C1407280,Pancreatitis acute
Thrombosis,C0040053,Peripheral artery thrombosis
Aphasia,C0003537,Thrombosis
Malaise,C0231218,Aphasia
Oropharyngeal pain,C2363731,Malaise
Venous oxygen saturation decreased,C2363798,Oropharyngeal pain
Product quality issue,C1881755,Oxygen saturation decreased
Burning sensation,C0085624,Product quality issue
Dry skin,C0151908,Burning sensation
Emotional distress,C0700361,Dry skin
Exfoliative rash,C1608945,Emotional distress
Hyperkeratosis,C0870082,Exfoliative rash
Nephrogenic Systemic Fibrosis,C3888044,Hyperkeratosis
Pain of skin,C0241136,Nephrogenic systemic fibrosis
Pruritus,C0033774,Pain of skin
Prurigo,C0033771,Pruritus
Atrophic condition of skin,C0151514,Rash pruritic
Dermatologic disorders,C0037274,Skin atrophy
Fibrosis of the skin,C0263008,Skin disorder
Skin hypertrophy,C0151717,Skin fibrosis
Skin Induration,C0241075,Skin hypertrophy
Cutaneous plaque,C0241148,Skin induration
Skin Ulcer,C0037299,Skin plaque
Chronic fibrous thyroiditis,C3887878,Skin ulcer
Alopecia,C0002170,Thyroiditis fibrous chronic
Hypotension,C0020649,Alopecia
Chills,C0085593,Blood pressure decreased
Crying,C0010399,Chills
Hypertensive disease,C0020538,Crying
Unconscious State,C0041657,Hypertension
Neuralgia,C0027796,Loss of consciousness
Optic Neuritis,C0029134,Neuralgia
Kidney Failure,C0035078,Optic neuritis
Umbilical hernia,C0019322,Renal failure
Hyperthyroidism,C0020550,Umbilical hernia
Thyroid Diseases,C0040128,Hyperthyroidism
Urinary tract infection,C0042029,Thyroid disorder
Asthenia,C0004093,Urinary tract infection
Decrease in appetite,C0232462,Asthenia
Delirium,C0011206,Decreased appetite
Drug prescribing error,C1535997,Delirium
Infection,C3714514,Drug prescribing error
Medication Error,C0025115,Infection
Nausea,C0027497,Medication error
Bleeding from ear,C0271412,Nausea
Pneumocephalus,C0032268,Ear haemorrhage
Skull Fractures,C0037304,Pneumocephalus
Subarachnoid Hemorrhage,C0038525,Skull fracture
Positional Vertigo,C0522351,Subarachnoid haemorrhage
Blood potassium increased,C0853760,Vertigo positional
Blood pressure fluctuation,C0549405,Blood potassium increased
Blood sodium decreased,C3888023,Blood pressure fluctuation
Drug Allergy,C0013182,Blood sodium decreased
Feeling abnormal,C1443060,Drug hypersensitivity
Body fluid retention,C0268000,Feeling abnormal
"Edema, generalized",C1850534,Fluid retention
Hypersensitivity,C0020517,Generalised oedema
Joint swelling,C0152031,Hypersensitivity
Laryngeal Edema,C0023052,Joint swelling
Localised intraabdominal fluid collection,C1868693,Laryngeal oedema
Kidney Diseases,C0022658,Localised intraabdominal fluid collection
Facial swelling (finding),C0151602,Renal disorder
Neutrophil count decreased,C0853697,Swelling face
Decreased platelet count,C0392386,Neutrophil count decreased
Tetany,C0039621,Platelet count decreased
Bone Cysts,C0005937,Tetany
Inguinal pain,C0239783,Bone cyst
Hip Fractures,C0019557,Groin pain
Limb asymmetry,C2938981,Hip fracture
Atrial Fibrillation,C0004238,Limb asymmetry
Dehydration,C0011175,Atrial fibrillation
Syncope,C0039070,Dehydration
Bile duct calculus,C0267869,Syncope
Biliary tract infection,C0920156,Bile duct stone
Heart Diseases,C0018799,Biliary tract infection
Drug Interactions,C0687133,Cardiac disorder
Staphylococcal Infections,C0038160,Drug interaction
Blurred vision,C0344232,Staphylococcal infection
Expired drug administered,C1740800,Vision blurred
Wrong technique in drug usage process,C1536011,Expired drug administered
Device malfunction,C1504465,Wrong technique in drug usage process
Dysgeusia,C0013378,Device malfunction
Gastrointestinal Pain,C0687713,Dysgeusia
Injection site nodule,C0542120,Gastrointestinal pain
Myalgia,C0231528,Injection site nodule
"Dermatitis, Phototoxic",C0162830,Myalgia
Macular rash,C0221201,Photosensitivity reaction
Amnesia,C0002622,Rash macular
Cicatrix,C2004491,Amnesia
Fracture of wrist,C5551302,Scar
Skin Basal Cell Carcinoma,C4721806,Wrist fracture
Cerebral Ischemia,C0917798,Basal cell carcinoma
Pulmonary Embolism,C0034065,Cerebral ischaemia
Drug abuse,C0013146,Pulmonary embolism
Drug withdrawal syndrome,C0152128,Drug abuse
Increased energy,C0455769,Drug withdrawal syndrome
Intentional drug misuse,C1696685,Energy increased
Prescribed overdose,C0919873,Intentional drug misuse
Substance Abuse Problems,C0740858,Prescribed overdose
Decreased therapeutic response,C0235827,Substance abuse
Toothache,C0040460,Therapeutic response decreased
Underdose (unintentional),C1112363,Toothache
Guillain-Barre Syndrome,C0018378,Underdose
Haematotoxicity,C0920103,Guillain-Barre syndrome
Paraparesis,C0221166,Haematotoxicity
Peripheral motor neuropathy,C0235025,Paraparesis
"Reflex, Abnormal",C0034933,Peripheral motor neuropathy
Yellow complexion,C0558148,Reflexes abnormal
Dream disorder,C0234458,Yellow skin
Euphoric mood,C0235146,Abnormal dreams
Intentional overdose,C0520804,Euphoric mood
Nervousness,C0027769,Intentional overdose
Aphagia,C0221470,Nervousness
Chronic Fatigue Syndrome,C0015674,Aphagia
Dyspepsia,C0013395,Chronic fatigue syndrome
Stomach Diseases,C0038354,Dyspepsia
Gastritis,C0017152,Gastric disorder
Increased upper airway secretion,C1328308,Gastritis
Peptic Ulcer,C0030920,Increased upper airway secretion
Rectal hemorrhage,C0267596,Peptic ulcer
Sleep disorder due to a general medical condition,C1535888,Rectal haemorrhage
Short stature for age,C2732728,Sleep disorder due to a general medical condition
Cardiovascular Diseases,C0007222,Body height decreased
Fracture of lower leg,C1542178,Cardiovascular disorder
Musculoskeletal discomfort,C0948594,Lower limb fracture
Esophageal Diseases,C0014852,Musculoskeletal discomfort
Trigeminal Neuralgia,C0040997,Oesophageal disorder
Fracture of upper limb,C0178316,Trigeminal neuralgia
Accidents,C0000924,Upper limb fracture
Ankle Fracture,C0159877,Accident
Back Injuries,C0004601,Ankle fracture
Chronic sinusitis,C0149516,Back injury
Difficulty standing,C0241237,Chronic sinusitis
Endoscopy gastrointestinal abnormal,C1262083,Dysstasia
Fracture of hand,C0435632,Endoscopy gastrointestinal abnormal
Difficulty driving a car,C0577358,Hand fracture
Iron deficiency anemia,C0162316,Impaired driving ability
Dislocations,C0012691,Iron deficiency anaemia
Joint Range of Motion Decreased,C0877027,Joint dislocation
Multiple allergies,C0740281,Joint range of motion decreased
Nasopharyngitis,C0027441,Multiple allergies
Neck Pain,C0007859,Nasopharyngitis
Nerve injury,C0161479,Neck pain
Neuritis,C0027813,Nerve injury
Ulcer of esophagus,C0151970,Neuritis
Orthopnea,C0085619,Oesophageal ulcer
Periarthritis,C0031037,Orthopnoea
Speech Disorders,C0037822,Periarthritis
Spinal column stenosis,C0860554,Speech disorder
Pain in spine,C0423673,Spinal column stenosis
Stress,C0038435,Spinal pain
Tension Headache,C0033893,Stress
Vascular stenosis,C0679403,Tension headache
Dysmenorrhea,C0013390,Vascular stenosis
Menorrhagia,C0025323,Dysmenorrhoea
Abnormal behavior,C0233514,Menorrhagia
Bursitis,C0006444,Abnormal behaviour
Cervix carcinoma,C0302592,Bursitis
Hyperphagia,C0020505,Cervix carcinoma
Menopause,C0025320,Hyperphagia
"Fasciitis, Plantar",C0149756,Menopause
Polyarthritis,C0162323,Plantar fasciitis
Somnambulism,C0037672,Polyarthritis
Sudden onset of sleep,C0919582,Somnambulism
Bradycardia,C0428977,Sudden onset of sleep
Respiration Disorders,C0035204,Heart rate decreased
Reduced visual acuity,C0234632,Respiratory disorder
Anaphylactoid Reaction,C0340865,Visual acuity reduced
Bronchospasm,C0006266,Anaphylactoid reaction
Shock,C0036974,Bronchospasm
"Leukoencephalopathy, Progressive Multifocal",C0023524,Circulatory collapse
Arteriovenous fistula,C0003855,Progressive multifocal leukoencephalopathy
Renal aneurysm,C0854141,Arteriovenous fistula
Hemorrhage of kidney,C0392175,Renal aneurysm
Retroperitoneal hematoma,C0341512,Renal haemorrhage
Cerebral Hemorrhage,C2937358,Retroperitoneal haematoma
Hematuria,C0018965,Cerebral haemorrhage
Mass of body structure,C0577559,Haematuria
Pancreatic Infection,C0948160,Mass
Pancreatitis Necrotizing,C0267941,Pancreas infection
Pleural effusion (disorder),C0032227,Pancreatitis necrotising
Splenic vein occlusion,C2242661,Pleural effusion
Venous thrombosis limb,C0853347,Splenic vein occlusion
Atrial Flutter,C0004239,Venous thrombosis limb
Blunted affect,C0233469,Atrial flutter
Bradycardia,C0428977,Blunted affect
Connective Tissue Diseases,C0009782,Bradycardia
Infection of ear,C0699744,Connective tissue disorder
Tachycardia,C0039231,Ear infection
Hernia,C0019270,Heart rate increased
Hyperhidrosis (disorder),C0020458,Hernia
Hyperkalemia,C0020461,Hyperhidrosis
Pneumonia,C0032285,Hyperkalaemia
Presyncope,C0700200,Pneumonia
Rales,C0034642,Presyncope
Fibromuscular dysplasia of wall of renal artery,C0155761,Rales
Sick Sinus Syndrome,C0037052,Renal artery fibromuscular dysplasia
"Lupus Erythematosus, Systemic",C0024141,Sick sinus syndrome
Vertigo,C0042571,Systemic lupus erythematosus
Infectious Enterocolitis,C1142115,Vertigo
Escherichia urinary tract infection,C0948344,Enterocolitis infectious
Atrophy of pancreas,C0152014,Escherichia urinary tract infection
Tachycardia,C0039231,Pancreatic atrophy
Lower urinary tract infection bacterial,C5442473,Tachycardia
Infection caused by Enterobacter,C0948205,Urinary tract infection bacterial
Cardiac Surgery procedures,C0018821,Enterobacter infection
Deafness,C0011053,Cardiac operation
Abnormal weight loss (finding),C0936227,Deafness
hangover (any Alcohol or Other Drugs substance),C0221100,Abnormal loss of weight
Manic,C0338831,Hangover
Drug Overdose,C0029944,Mania
Parkinson Disease,C0030567,Overdose
Suicide attempt,C0038663,Parkinson's disease
Tinnitus,C0040264,Suicide attempt
Bronchitis,C0006277,Tinnitus
Xerostomia,C0043352,Bronchitis
Pulmonary congestion,C0242073,Dry mouth
Wheezing,C0043144,Pulmonary congestion
Aggressive behavior,C0001807,Wheezing
Aortic Aneurysm,C0003486,Aggression
Schizophrenia,C0036341,Aortic aneurysm
Cardiac Arrhythmia,C0003811,Schizophrenia
Adverse reaction to drug,C0041755,Arrhythmia
Grandiose delusions,C0233681,Adverse drug reaction
Delusional perception,C0424024,Delusion of grandeur
Diabetes Mellitus,C0011849,Delusional perception
Drug ineffective for unapproved indication,C0919887,Diabetes mellitus
Laryngitis,C0023067,Drug ineffective for unapproved indication
Psychological Trauma,C3203533,Laryngitis
Therapeutic response unexpected,C0853141,Psychological trauma
Victim of sexual abuse,C0562386,Therapeutic response unexpected
Diabetes with coma (disorder),C1263960,Victim of sexual abuse
Disorder of endocrine pancreas,C0271633,Diabetic coma
Pancreatic Diseases,C0030286,Endocrine pancreatic disorder
Pancreatic Insufficiency,C0030293,Pancreatic disorder
"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Pancreatic insufficiency
Anti-glomerular basement membrane antibody positive,C1696571,Type 2 diabetes mellitus
Blood creatinine increased,C0235431,Anti-glomerular basement membrane antibody positive
Microscopic Polyarteritis,C2347126,Blood creatinine increased
Edema,C0013604,Microscopic polyangiitis
Petechiae of skin,C0241144,Oedema
Purpura,C0034150,Petechiae
"Kidney Failure, Chronic",C0022661,Purpura
Vasculitis,C0042384,Renal failure chronic
Gastrointestinal arteriovenous malformation,C0744321,Vasculitis
Diverticulitis,C0012813,Gastrointestinal arteriovenous malformation
Chromaturia,C0541832,Diverticulitis
Rhabdomyolysis,C0035410,Chromaturia
Upper Respiratory Infections,C0041912,Rhabdomyolysis
Congestive heart failure,C0018802,Upper respiratory tract infection
Cataract,C0086543,Cardiac failure congestive
Drug dispensing error,C1536012,Cataract
Itching of eye,C0022281,Drug dispensing error
Blepharoptosis,C0005745,Eye pruritus
Hypersomnia,C0917799,Eyelid ptosis
Migraine Disorders,C0149931,Hypersomnia
Mood swings,C0085633,Migraine
Obsessive-Compulsive Disorder,C0028768,Mood swings
Psychomotor Agitation,C3887612,Obsessive-compulsive disorder
Sciatica,C0036396,Psychomotor hyperactivity
Disturbance in thinking,C0233632,Sciatica
Cytomegalovirus viremia,C0877635,Thinking abnormal
Neutropenia,C0027947,Cytomegalovirus viraemia
Rhinorrhea,C1260880,Neutropenia
Sepsis due to urinary tract infection,C0149801,Rhinorrhoea
Depressed mood,C0344315,Urosepsis
Ear discomfort,C0948296,Depressed mood
Head discomfort,C0235002,Ear discomfort
Panic Attacks,C0086769,Head discomfort
Panic,C0030318,Panic attack
Spinal Diseases,C0037933,Panic reaction
Optic Atrophy,C0029124,Spinal disorder
Deep Vein Thrombosis,C0149871,Optic atrophy
Pain in esophagus (finding),C0221727,Deep vein thrombosis
Vaginal Discharge,C0227791,Oesophageal pain
Feels hot,C2939147,Vaginal discharge
Generalized erythema,C0849916,Feeling hot
Increased anteroposterior chest diameter,C1696468,Generalised erythema
Acute sinusitis,C0149512,Increased anteroposterior chest diameter
Anaemia postoperative,C0877398,Acute sinusitis
Pruritus Ani,C0033775,Anaemia postoperative
First degree atrioventricular block,C0085614,Anal pruritus
Blood potassium decreased,C0853761,Atrioventricular block first degree
Thoracic Injuries,C0039980,Blood potassium decreased
Closed Fracture Reduction,C0185496,Chest injury
"Dermatitis, Atopic",C0011615,Closed fracture manipulation
Ecchymosis,C0013491,Dermatitis allergic
Femoral Fractures,C0015802,Ecchymosis
"Fractures, Ununited",C0016665,Femur fracture
Fracture of sacrum,C0435492,Fracture nonunion
Hysterectomy,C0020699,Fractured sacrum
Nephrosclerosis,C0027719,Hysterectomy
Nocturia,C0028734,Nephrosclerosis
Redness of throat,C0455899,Nocturia
Phlebitis,C0031542,Pharyngeal erythema
Superficial phlebitis,C0750876,Phlebitis
Proteinuria,C0033687,Phlebitis superficial
Respiratory tract congestion,C0948349,Proteinuria
Sinus bradycardia,C0085610,Respiratory tract congestion
Lysis of adhesions of tendon,C0185458,Sinus bradycardia
Vertebral foraminal stenosis,C2747795,Tenolysis
Bacteremia,C0004610,Vertebral foraminal stenosis
Intestinal Perforation,C0021845,Bacteraemia
Abnormal blood test,C0854146,Intestinal perforation
post laminectomy syndrome,C0152089,Blood test abnormal
Polyp of large intestine,C0949059,Post laminectomy syndrome
Occult blood positive,C0877047,Large intestine polyp
Cartilage Diseases,C0007302,Occult blood positive
Gall Bladder Diseases,C0016977,Chondropathy
hearing impairment,C1384666,Gallbladder disorder
Labyrinthitis,C0022893,Hearing impaired
Urgency of micturition,C0085606,Labyrinthitis
Electrocardiogram abnormal (finding),C0522055,Micturition urgency
"Colitis, Ischemic",C0162529,Electrocardiogram abnormal
Liver Cirrhosis,C0023890,Colitis ischaemic
Hypertensive heart disease,C0152105,Hepatic cirrhosis
Peritonitis,C0031154,Hypertensive heart disease
Lethargy,C0023380,Peritonitis
Neurologic Deficits,C0521654,Lethargy
Blindness,C0456909,Motor dysfunction
Corneal Diseases,C0010034,Blindness
Eye inflammation,C4551678,Corneal disorder
Inflammatory corneal ulcer,C0339219,Eye inflammation
Acute Coronary Syndrome,C0948089,Ulcerative keratitis
anaphylaxis,C0002792,Acute coronary syndrome
Apallic syndrome,C0854369,Anaphylactic reaction
Brain Injuries,C0270611,Apallic syndrome
C-reactive protein above reference range,C0742906,Brain injury
Chest discomfort,C0235710,C-reactive protein increased
Coronary Artery Disease,C1956346,Chest discomfort
Intracranial Hemorrhage,C0151699,Coronary artery disease
Elevated circulating hepatic transaminase concentration,C0235996,Haemorrhage intracranial
Lip swelling,C0240211,Hepatic enzyme increased
Mental disorder due to a general medical condition,C0853895,Lip swelling
Spasm,C0037763,Mental disorder due to a general medical condition
nervous system disorder,C0027765,Muscle spasms
Peripheral arterial occlusive disease,C1306889,Nervous system disorder
Pharyngitis,C0031350,Peripheral arterial occlusive disease
Sedated state,C0235195,Pharyngitis
Heavy feeling,C0581912,Sedation
Sinoatrial Block,C0037188,Sensation of heaviness
Ventricular Fibrillation,C0042510,Sinoatrial block
Eye Hemorrhage,C0015402,Ventricular fibrillation
Foreign body sensation in eyes,C0920171,Eye haemorrhage
Memory impairment,C0233794,Foreign body sensation in eyes
