UMLS_drugname,UMLS_pt,a,drug_total,b,pt_total,c,d,PRR
atenolol,Biopsy lymph gland abnormal,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Bladder cyst,4,12005,12001,42,38,409792,3.3472845516841847
atenolol,Bleeding esophageal varices,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Bleeding from anus,4,12005,12001,33,29,409801,4.260271240022927
atenolol,Blister rupture,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Blood blister,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Blood chloride decreased,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Blood cholinesterase decreased,15,12005,11990,39,24,409806,13.530377879001732
atenolol,Blood lactic acid,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Blood potassium increased,7,12005,11998,46,39,409791,5.349665161584903
atenolol,Blood triglycerides abnormal,12,12005,11993,88,76,409754,4.795376848616238
atenolol,Blood urea nitrogen measurement,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Blood urine present,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Bone marrow harvest failure,8,12005,11997,61,53,409777,4.610704588715485
atenolol,Brain stem herniation,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Breast Cyst,7,12005,11998,68,61,409769,3.6187023817695105
atenolol,Breast hyperplasia,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Bronchial Obstruction,12,12005,11993,137,125,409705,3.0798841903519145
atenolol,"Bronchitis, Chronic",6,12005,11999,56,50,409780,3.766197778386294
atenolol,Bullous Dermatitis,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Bursa calcification,2,12005,12003,11,9,409821,6.389675308445616
atenolol,CSF white blood cell count increased,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Calcification of breast,3,12005,12002,24,21,409809,4.3931323946009
atenolol,Calcification of pleura,2,12005,12003,5,3,409827,14.057485628592854
atenolol,Cancer of Ear,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Cardiac Catheterization Procedures,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Cardiac Death,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Cardiac ventricular thrombosis,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Cardiovascular Deconditioning,3,12005,12002,12,9,409821,8.786514747542077
atenolol,Carotid Body Paraganglioma,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Cartilage atrophy,3,12005,12002,17,14,409816,6.202172186988443
atenolol,Celiac Disease,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Central nervous system lesion,10,12005,11995,106,96,409734,3.316861585409015
atenolol,Cerebral arterial thrombosis,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Cerebrovascular Disorders,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Cesarean section,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Chemical burns of eye,2,12005,12003,10,8,409822,7.0286595017912195
atenolol,Cholecystitis,2,12005,12003,10,8,409822,7.0286595017912195
atenolol,Chondromalacia,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Chronic Fatigue Syndrome,9,12005,11996,62,53,409777,5.103794006604352
atenolol,Collagen-vascular disease,2,12005,12003,7,5,409825,10.041013556134775
atenolol,Colonic Neoplasms,3,12005,12002,23,20,409810,4.584149018641821
atenolol,Colposcopy,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Compression fracture of vertebral column,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Congenital tricuspid valve incompetence,4,12005,12001,19,15,409815,7.3996640630824615
atenolol,Corneal Abrasions,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Corneal Scar,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Coronary Arteriosclerosis,8,12005,11997,88,80,409750,3.195851993301356
atenolol,Coronary Artery Bypass Surgery,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Coronary Occlusion,3,12005,12002,24,21,409809,4.3931323946009
atenolol,Counterfeit drug administered,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Cyst of thyroid,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Cyst of vulva,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Cystatin C increased,8,12005,11997,29,21,409809,9.69911443378086
atenolol,Death (finding),8,12005,11997,69,61,409769,4.076052829632529
atenolol,Death of relative,2,12005,12003,17,15,409815,4.134436978990546
atenolol,Decreased body weight,2,12005,12003,16,14,409816,4.392849704240606
atenolol,Decreased therapeutic response,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Decreased urine output,3,12005,12002,28,25,409805,3.7655063441807313
atenolol,Deformity of limb,2,12005,12003,21,19,409811,3.3468934353713156
atenolol,Delayed Hypersensitivity,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Dental alveolar anomaly,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Depressed Level of Consciousness,5,12005,12000,52,47,409783,3.379671474358975
atenolol,Dermatitis Herpetiformis,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Dermatitis acneiform,2,12005,12003,16,14,409816,4.392849704240606
atenolol,"Dermatitis, Atopic",3,12005,12002,10,7,409823,10.543867688718548
atenolol,Device defective,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Device malfunction,39,12005,11966,428,389,409441,3.2090285794173834
atenolol,"Diabetes Mellitus, Non-Insulin-Dependent",3,12005,12002,8,5,409825,13.179897100483254
atenolol,Diabetic Foot,3,12005,12002,19,16,409814,5.549285645374893
atenolol,Differential white blood cell count abnormal,3,12005,12002,20,17,409813,5.271808865189135
atenolol,Difficulty standing,4,12005,12001,30,26,409804,4.686331694581007
atenolol,Dilatation of esophagus (disorder),1,12005,12004,8,7,409823,4.392567060979673
atenolol,Disorder of appendix,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Disorder of bursa,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Disorder of endocrine pancreas,3,12005,12002,10,7,409823,10.543867688718548
atenolol,Disorder of macula of retina,2,12005,12003,10,8,409822,7.0286595017912195
atenolol,Disseminated Histoplasmosis,3,12005,12002,15,12,409818,7.0291618063656065
atenolol,Drooling,3,12005,12002,34,31,409799,3.1009611143240834
atenolol,Drug resistance,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Dwarfism,4,12005,12001,35,31,409799,4.016808123132596
atenolol,Dysgeusia,28,12005,11977,294,266,409564,3.351988135990808
atenolol,Dyslipidemias,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Dyspnea on exertion,3,12005,12002,18,15,409815,5.857593178914625
atenolol,Dystonia,2,12005,12003,11,9,409821,6.389675308445616
atenolol,EKG: P wave abnormal,6,12005,11999,50,44,409786,4.218201516793066
atenolol,Ear discharge,2,12005,12003,16,14,409816,4.392849704240606
atenolol,Eating Disorders,6,12005,11999,54,48,409782,3.9057051050550506
atenolol,Ecchymosis,5,12005,12000,56,51,409779,3.1382366071428573
atenolol,Ectropion,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Elbow deformity,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Electrocardiogram QT borderline prolonged,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Embolism,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Enamel anomaly,2,12005,12003,20,18,409812,3.5142464383904026
atenolol,Enchondroma,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Endodontic procedure,8,12005,11997,71,63,409767,3.961215656026683
atenolol,Eosinophilic granulomatosis with polyangiitis,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Euphoric mood,12,12005,11993,131,119,409711,3.2209934166431693
atenolol,Exostoses,2,12005,12003,19,17,409813,3.699215546990445
atenolol,Extrapyramidal Disorders,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Eye irritation,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Eyelids pruritus,2,12005,12003,17,15,409815,4.134436978990546
atenolol,Faecal volume decreased,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Feeding tube complication,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Felty Syndrome,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Fever,3,12005,12002,32,29,409801,3.2947868063656056
atenolol,Fibrosis,2,12005,12003,19,17,409813,3.699215546990445
atenolol,First degree atrioventricular block,2,12005,12003,23,21,409809,3.0558447344685566
atenolol,Flail Chest,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Fluid imbalance,4,12005,12001,41,37,409793,3.4289337677144793
atenolol,Folliculitis,2,12005,12003,11,9,409821,6.389675308445616
atenolol,Foot Deformities,15,12005,11990,148,133,409697,3.5645160381398915
atenolol,"Fracture Fixation, Internal",2,12005,12003,16,14,409816,4.392849704240606
atenolol,Fracture of acetabulum,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Fracture of clavicle,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Fracture of coccyx,2,12005,12003,23,21,409809,3.0558447344685566
atenolol,Fracture of forearm,9,12005,11996,53,44,409786,5.970603408683397
atenolol,Fracture of lumbar spine,2,12005,12003,18,16,409814,3.9047367787682705
atenolol,Fracture of patella,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Fracture of sacrum,6,12005,11999,31,25,409805,6.803857310689869
atenolol,"Fractures, Ununited",34,12005,11971,317,283,409547,3.7766379159730654
atenolol,Friedreich Ataxia,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Full blood count decreased,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Galactosemias,2,12005,12003,23,21,409809,3.0558447344685566
atenolol,Gangrene,5,12005,12000,13,8,409822,13.519935897435898
atenolol,Gangrene due to diabetes mellitus,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Gastric pH decreased,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Gastric ulcer with perforation,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Gastrointestinal infection,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Gastrostomy,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Genital pain,2,12005,12003,11,9,409821,6.389675308445616
atenolol,Genitourinary tract gonococcal infection,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Gingival Recession,3,12005,12002,6,3,409827,17.57327945342443
atenolol,Growing pains,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Haemorrhagic transformation stroke,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Hamman-Rich syndrome,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Hard stool,3,12005,12002,8,5,409825,13.179897100483254
atenolol,"Hearing Loss, Sudden",2,12005,12003,13,11,409819,5.406622703298535
atenolol,Hemangioma,2,12005,12003,8,6,409824,8.785866033491628
atenolol,Hematemesis,8,12005,11997,40,32,409798,7.031674585312995
atenolol,Hematoma of abdominal wall,2,12005,12003,22,20,409810,3.194754341717601
atenolol,"Hematoma, Subdural",6,12005,11999,58,52,409778,3.6363116466602103
atenolol,"Hemianopsia, Homonymous",1,12005,12004,8,7,409823,4.392567060979673
atenolol,Hemorrhage of penis,9,12005,11996,75,66,409764,4.219006335445148
atenolol,Hemorrhage of urethra,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Hemorrhagic Stroke,6,12005,11999,68,62,409768,3.1014863983763354
atenolol,Hemospermia,2,12005,12003,7,5,409825,10.041013556134775
atenolol,Henoch-Schonlein purpura nephritis,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Hepatic calcification,1,12005,12004,9,8,409822,3.904494798030286
atenolol,"Hepatitis, Chronic",1,12005,12004,8,7,409823,4.392567060979673
atenolol,Herpes zoster cutaneous disseminated,5,12005,12000,6,1,409829,29.293680555555557
atenolol,High density lipoprotein abnormal,10,12005,11995,61,51,409779,5.764341699751945
atenolol,High turnover osteopathy,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Humeral Fractures,16,12005,11989,71,55,409775,7.92771777885597
atenolol,Hydrops Fetalis,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Hyperphagia,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Hypertensive cardiomyopathy,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Hypertrophy of adenoids,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Hypocupremia,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Hyporeflexia,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Hysterectomy,5,12005,12000,17,12,409818,10.338676470588235
atenolol,Ileal Fistula,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Iliotibial Band Syndrome,4,12005,12001,20,16,409814,7.029664194650446
atenolol,Impatience,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Incision site infection,3,12005,12002,5,2,409828,21.087985335777372
atenolol,Incisional hernia,3,12005,12002,24,21,409809,4.3931323946009
atenolol,Infarction,13,12005,11992,54,41,409789,8.467300731351765
atenolol,Infarction of basal ganglia,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Infectious Lung Disorder,4,12005,12001,16,12,409818,8.787163569702525
atenolol,Infectious pericarditis,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Inflammation,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Infusion site infection,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Inguinal pain,2,12005,12003,19,17,409813,3.699215546990445
atenolol,Injection site haematoma,2,12005,12003,17,15,409815,4.134436978990546
atenolol,Injection site itching,7,12005,11998,82,75,409755,3.000775535760025
atenolol,Injection site nodule,6,12005,11999,70,64,409766,3.0128582143750076
atenolol,Injury of integument,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Insulin-like growth factor increased,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Intentional device misuse,5,12005,12000,14,9,409821,12.554196428571428
atenolol,International normalized ratio decreased,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Intertrigo,2,12005,12003,6,4,409826,11.71454358632564
atenolol,Intervertebral disc compression,2,12005,12003,18,16,409814,3.9047367787682705
atenolol,Intra-abdominal hematoma,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Invasive Lobular Breast Carcinoma,3,12005,12002,17,14,409816,6.202172186988443
atenolol,Iron deficiency,2,12005,12003,6,4,409826,11.71454358632564
atenolol,"Jaundice, Obstructive",2,12005,12003,7,5,409825,10.041013556134775
atenolol,Jealous delusion,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Knee Replacement Arthroplasty,5,12005,12000,51,46,409784,3.4459477124183007
atenolol,Labyrinthitis,9,12005,11996,91,82,409748,3.4770711116159596
atenolol,Lacrimation decreased,2,12005,12003,12,10,409820,5.857188480657613
atenolol,Laminoplasty,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Learning Disorders,6,12005,11999,52,46,409784,4.055943764544481
atenolol,"Leukemia, Myelocytic, Acute",5,12005,12000,48,43,409787,3.661345486111111
atenolol,Leukocytosis,1,12005,12004,6,5,409825,5.856783849827835
atenolol,"Leukoencephalopathy, Progressive Multifocal",22,12005,11983,219,197,409633,3.5345171260503365
atenolol,Lichen Planus,2,12005,12003,21,19,409811,3.3468934353713156
atenolol,Limb crushing injury,10,12005,11995,36,26,409804,9.76793571395489
atenolol,Limb prosthesis user,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Liver carcinoma,6,12005,11999,68,62,409768,3.1014863983763354
atenolol,Liver enzymes abnormal,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Low density lipoprotein increased,6,12005,11999,26,20,409810,8.112387570759102
atenolol,"Lupus Erythematosus, Systemic",1,12005,12004,6,5,409825,5.856783849827835
atenolol,Lymph node excision,4,12005,12001,33,29,409801,4.260271240022927
atenolol,Lymphedema,58,12005,11947,549,491,409339,3.725407739678419
atenolol,Lysis of adhesions of intestines,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Macrocytosis (finding),2,12005,12003,22,20,409810,3.194754341717601
atenolol,Madarosis of eyelid,9,12005,11996,88,79,409751,3.5956332034920733
atenolol,Malignant mesothelioma,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Malignant neoplasm of kidney,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Malignant neoplasm of ovary,2,12005,12003,14,12,409818,5.020423465562181
atenolol,Malignant neoplasm of skin,2,12005,12003,19,17,409813,3.699215546990445
atenolol,Malignant neoplasm of tonsil,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Mass of axilla,43,12005,11962,297,254,409576,5.1020526842295775
atenolol,Mass of lower limb,9,12005,11996,50,41,409789,6.328884628209403
atenolol,Mass of pancreas,4,12005,12001,44,40,409790,3.1951201036277284
atenolol,Mastocytosis,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Melanocytic nevus,3,12005,12002,21,18,409812,5.020758445021067
atenolol,Menopausal syndrome,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Menstruation Disturbances,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Mental Depression,78,12005,11927,585,507,409323,4.709203208406696
atenolol,Mental status changes postoperative,1,12005,12004,8,7,409823,4.392567060979673
atenolol,Mesenteric Vascular Occlusion,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Mesenteritis,2,12005,12003,10,8,409822,7.0286595017912195
atenolol,Metabolic Syndrome X,5,12005,12000,31,26,409804,5.669408602150538
atenolol,Metastatic malignant neoplasm to liver,20,12005,11985,88,68,409762,7.997629612773542
atenolol,Metastatic malignant neoplasm to vertebral column,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Metastatic non-small cell lung cancer,2,12005,12003,13,11,409819,5.406622703298535
atenolol,Metrorrhagia,2,12005,12003,20,18,409812,3.5142464383904026
atenolol,Migraine with Aura,1,12005,12004,9,8,409822,3.904494798030286
atenolol,Mitral Valve Insufficiency,9,12005,11996,84,75,409755,3.766889558424236
atenolol,Mitral Valve Prolapse Syndrome,16,12005,11989,78,62,409768,7.216136159000451
atenolol,Monocyte percentage decreased,3,12005,12002,17,14,409816,6.202172186988443
atenolol,Multiple sclerosis relapse,21,12005,11984,217,196,409634,3.4046847409449157
atenolol,Myoclonus,2,12005,12003,20,18,409812,3.5142464383904026
atenolol,"Myosclerosis, Autosomal Recessive",2,12005,12003,17,15,409815,4.134436978990546
atenolol,Nasopharyngitis,2,12005,12003,19,17,409813,3.699215546990445
